"Estudiantes, Nuevos Inscriptos, Reinscriptos y Egresados de títulos de pregrado, grado y posgrado por género, carrera, unidad académica y por tipo de institución. Año 2017,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevos Inscriptos Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres
Universidad,Universidad Nacional de Córdoba,Facultad de Artes,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor en Educación Plástica y Visual,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Litoral,Facultad de Humanidades y Ciencias,Música,Licenciado en Música Popular,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de La Plata,Facultad de Humanidades y Ciencias de la Educación,Educación Física y Deportes,Licenciado en Educación Física - Ciclo de Licenciatura,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Litoral,Facultad de Bioquímica y Ciencias Biológicas,Enfermería,Licenciado en Enfermería,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Litoral,Facultad de Humanidades y Ciencias,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor de Música con Orientación en Órgano,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Charata,Ingeniería Mecánica,Ingeniero Mecánico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,"Facultad de Artes, Diseño y Ciencias de la Cultura - Sede Corrientes",Turismo y Hotelería,Licenciado en Turismo,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Humanidades - Extensión Áulica General Pinedo,Ciencias de la Educación,Profesor en Ciencias de la Educación,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Charata,Ingeniería Electromecánica,Ingeniero Electromecánico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Aúlica Pcia. Roque Saenz Peña,Abogacía,Abogado - Ciclo de Complementación Curricular,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ciencias Económicas - Extensión Áulica Gral. José de San Martín,Economía,CBC - Ciencias Económicas,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ciencias Agrarias - Extensión Áulica Gral. Pinedo,Ingeniería Agronómica,Ingeniero Agrónomo,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Gral. Pinedo,Ingeniería Civil,Ingeniero Civil,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Humanidades - Extensión Áulica General Pinedo,Educación Inicial,Profesor en Educación Inicial,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Medicina - Extensión Áulica Saenz Peña,Enfermería,Licenciado en Enfermería,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Gral. Pinedo,Ingeniería Mecánica,Ingeniero Mecánico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Gral. Pinedo,Ingeniería Electromecánica,Ingeniero Electromecánico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Ingeniería - Extensión Áulica Charata,Ingeniería Civil,Ingeniero Civil,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Derecho y Ciencias Sociales y Políticas - Extensión Aúlica Formosa,Derecho y Ciencias Jurídicas,Escribano Público Nacional - Ciclo de Complementación Curricular,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional del Nordeste,Facultad de Derecho y Ciencias Sociales y Políticas -  Extensión Áulica Resistencia,Derecho y Ciencias Jurídicas,Escribano Público Nacional - Ciclo de Complementación Curricular,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Humanidades y Artes,Música,Profesor en Canto con orientación en Canto Lírico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rosario,Facultad de Humanidades y Artes,Carrera No Definida,Licenciado en Canto con orientación alternativa en Canto Lírico,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
