Categoría de carrera,Titulo,Nivel
Electrónica,Tecnico Universitario en Electronica y Electricidad,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Emprendimientos Informaticos,Pregrado
"Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo",Tecnico Universitario en Energia,Pregrado
"Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo",Tecnico Universitario en Energia Solar,Pregrado
Ciencias del Ambiente y Recursos Naturales,Tecnico Universitario en Energias Renovables,Pregrado
Estadística,Tecnico Universitario en Estadistica,Pregrado
Estadística,Tecnico Universitario en Estadisticas de Salud,Pregrado
Ciencias del Ambiente y Recursos Naturales,Tecnico Universitario en Evaluacion Ambiental,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Evaluacion del Impacto Ambiental,Pregrado
Geología,Tecnico Universitario en Exploracion Geologica,Pregrado
Minería,Tecnico Universitario en Explosivos y Voladuras,Pregrado
Minería,Tecnico Universitario en Explotacion de Minas,Pregrado
Minería,Tecnico Universitario en Explotacion Minera,Pregrado
Ingeniería Vial,Tecnico Universitario en Ferrocarriles,Pregrado
Física,Tecnico Universitario en Fisica Ambiental,Pregrado
Física,Tecnico Universitario en Fisica Medica,Pregrado
Geografía,Tecnico Universitario en Geografia especialista en Cartografia y Sistemas de Informacion Geografica,Pregrado
Tecnología y Ciencias Aplicadas,Tecnico Universitario en Geoinformatica,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gerenciamiento Ambiental,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gestion Ambiental,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gestion Ambiental - MD,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gestion Ambiental orientacion en Gestion Portuaria,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gestion Ambiental orientacion Gestion de Residuos,Pregrado
Administración y Gestión Ambiental,Tecnico Universitario en Gestion Ambiental Urbana,Pregrado
Ingeniería Hidráulica,Tecnico Universitario en Gestion de Distritos de Riego,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Gestion de la Calidad Alimentaria,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Gestion y Seguridad de las Tecnologias de la Informacion,Pregrado
Ciencias del Ambiente y Recursos Naturales,"Tecnico Universitario en Gestion, Manejo y Conservacion de Biodiversidad",Pregrado
Producción Animal,Tecnico Universitario en Granja y Produccion Avicola,Pregrado
"Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo",Tecnico Universitario en Hidrocarburos,Pregrado
Ingeniería Hidráulica,Tecnico Universitario en Hidrologia Subterranea,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Higiene y Seguridad del Trabajo - MD,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Higiene y Seguridad en el Trabajo,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Higiene y Seguridad en el Trabajo - MD,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Industria Alimentaria,Pregrado
Ingeniería Forestal e Industrias de la Madera,Tecnico Universitario en Industria de la Madera,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Industrializacion de Alimentos,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Industrias de la Alimentacion,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Industrias Lacteas,Pregrado
Sanidad y Saneamiento Ambiental,Tecnico Universitario en Informacion Ambiental,Pregrado
Ciencias del Ambiente y Recursos Naturales,Tecnico Universitario en Informacion y Gestion Ambiental,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Informatica,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Inspeccion de Alimentos,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Laboratorio Agropecuario - MD,Pregrado
Química,Tecnico Universitario en Laboratorio Quimico,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Laboratorio Quimico y Control de Calidad,Pregrado
Logística y Transportes,Tecnico Universitario en Logistica,Pregrado
Logística y Transportes,Tecnico Universitario en Logistica - MD,Pregrado
Logística y Transportes,Tecnico Universitario en Logistica de la Empresa,Pregrado
Logística y Transportes,Tecnico Universitario en Logistica y Transporte,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Manejo de Granos y Semillas,Pregrado
Ingeniería Industrial,Tecnico Universitario en Mantenimiento e Instalaciones Industriales,Pregrado
Ingeniería Vial,Tecnico Universitario en Mantenimiento Ferroviario,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Mantenimiento Industrial del Sector Automotriz - MD,Pregrado
Ingeniería Mecánica,Tecnico Universitario en Mecanica,Pregrado
Electromecánica,Tecnico Universitario en Mecanica y Produccion Automatizada,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Mecanizacion Agraria,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Mecanizacion Agropecuaria,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Mecanizacion de la Produccion Agropecuaria,Pregrado
Electrónica,Tecnico Universitario en Mecatronica,Pregrado
Electromecánica,Tecnico Universitario en Mecatronica Industrial,Pregrado
Ciencias del Ambiente y Recursos Naturales,Tecnico Universitario en Medio Ambiente,Pregrado
Ingeniería Metalúrgica,Tecnico Universitario en Metalurgica,Pregrado
Electrónica,Tecnico Universitario en Microprocesadores,Pregrado
Minería,Tecnico Universitario en Minas,Pregrado
Minería,Tecnico Universitario en Mineria,Pregrado
Minería,Tecnico Universitario en Muestreo Exploratorio,Pregrado
Ingeniería Naval,Tecnico Universitario en Navegacion con orientacion en Electricidad,Pregrado
Ingeniería Naval,Tecnico Universitario en Navegacion con orientacion en Motores,Pregrado
Ingeniería Naval,Tecnico Universitario en Navegacion con Orientacion en Proteccion de Buques e Instalaciones Portuarias,Pregrado
Ingeniería Vial,Tecnico Universitario en Obras Viales,Pregrado
Carrera No Definida,Tecnico Universitario en optica y Contactologia,Pregrado
Carrera No Definida,Tecnico Universitario en Ortesis,Pregrado
"Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo",Tecnico Universitario en Perforaciones,Pregrado
"Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo",Tecnico Universitario en Petroleo,Pregrado
Química,Tecnico Universitario en Plasticos y Elastomeros,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Poscosecha de Granos y Semillas,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Procesamiento Agroalimentario,Pregrado
Minería,Tecnico Universitario en Procesamiento de Minas,Pregrado
Minería,Tecnico Universitario en Procesamiento de Minerales,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Procesos Agroindustriales,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Agropecuaria,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Agropecuaria - MD,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Produccion Alimentaria,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Animal,Pregrado
Producción Animal,Tecnico Universitario en Produccion Apicola,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Produccion de Alimentos,Pregrado
Química,Tecnico Universitario en Produccion de Esencias de Plantas Aromaticas,Pregrado
Farmacia,Tecnico Universitario en Produccion de Medicamentos,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion de Plantas Aromaticas,Pregrado
Producción Animal,Tecnico Universitario en Produccion Ganadera,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Lechera,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Vegetal,Pregrado
Producción e Ingeniería Agropecuaria,Tecnico Universitario en Produccion Vegetal Intensiva,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Produccion y Diseño de Videojuegos,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion con Orientacion a Sistemas,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion con Orientacion Web,Pregrado
Ingeniería en Sistemas,Tecnico Universitario en Programacion de Sistemas,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion de Videojuegos,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion Informatica,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion Web,Pregrado
Redes y Telecomunicaciones,Tecnico Universitario en Programacion y Administracion de Redes,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Programacion y Operacion de Computadoras,Pregrado
Sanidad y Saneamiento Ambiental,Tecnico Universitario en Proteccion Ambiental,Pregrado
Sanidad y Saneamiento Ambiental,Tecnico Universitario en Proteccion y Saneamiento Ambiental,Pregrado
Producción e Ingeniería Pesquera,Tecnico Universitario en Puericultura y Crianza,Pregrado
Química,Tecnico Universitario en Quimica,Pregrado
Ingeniería Forestal e Industrias de la Madera,Tecnico Universitario en Recursos Forestales,Pregrado
Ingeniería Hidráulica,Tecnico Universitario en Recursos Hidricos,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Redes de Computadoras,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Redes de Datos y Telecomunicaciones,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Redes Informaticas,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Redes y Seguridad Informatica,Pregrado
Redes y Telecomunicaciones,Tecnico Universitario en Redes y Telecomunicaciones,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Redes y Telecomunicaciones - MD,Pregrado
Sanidad y Saneamiento Ambiental,Tecnico Universitario en Salvamento y Proteccion Ambiental,Pregrado
Sanidad y Saneamiento Ambiental,Tecnico Universitario en Saneamiento Ambiental,Pregrado
Ingeniería Naval,Tecnico Universitario en Seguridad con orientacion en Proteccion Maritima y Portuaria,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Seguridad e Higiene de la Industria Mecanico-Automotriz - MD,Pregrado
Higiene y Seguridad Industrial,Tecnico Universitario en Seguridad e Higiene en el Trabajo,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Seguridad Informatica,Pregrado
Logística y Transportes,Tecnico Universitario en Seguridad Vial y Transporte,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Sistemas de Informacion,Pregrado
Electrónica,Tecnico Universitario en Sistemas Electronicos,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Sistemas Informaticos,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Software Libre - MD,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Soporte Informatico,Pregrado
Carrera No Definida,Tecnico Universitario en Tecnologia Ambiental y Petroquimica,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Tecnologia Azucarera e Industrias Derivadas,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Tecnologia de Alimentos,Pregrado
Tecnología e Ingeniería en Alimentos,Tecnico Universitario en Tecnologia de los Alimentos,Pregrado
Tecnología y Ciencias Aplicadas,Tecnico Universitario en Tecnologia Ferroviaria,Pregrado
Tecnología y Ciencias Aplicadas,Tecnico Universitario en Tecnologias Ferroviarias,Pregrado
Redes y Telecomunicaciones,Tecnico Universitario en Telecomunicaciones,Pregrado
Redes y Telecomunicaciones,Tecnico Universitario en Teledeteccion y Ecoinformatica,Pregrado
Topografía y Cartografía,Tecnico Universitario en Topografia,Pregrado
Ingeniería en Telecomunicaciones,Tecnico Universitario en Vigilancia y Control Aereo,Pregrado
Ingeniería Forestal e Industrias de la Madera,Tecnico Universitario en Viveros y Plantaciones Forestales,Pregrado
"Computación, Sistemas e Informática",Tecnico Universitario en Web,Pregrado
Ingeniería Forestal e Industrias de la Madera,Tecnico Universitario Fitosanitarista,Pregrado
Ingeniería Forestal e Industrias de la Madera,Tecnico Universitario Forestal,Pregrado
Ingeniería en Minas,Tecnico Universitario Industrial,Pregrado
Bioterio,Tecnico Universitario para Bioterios,Pregrado
Producción e Ingeniería Pesquera,Tecnico Universitario Pesquero,Pregrado
Química,Tecnico Universitario Quimico Analista Industrial,Pregrado
Ingeniería Vial,Tecnico Universitario Vial,Pregrado
Logística y Transportes,Tecnico Vial,Pregrado
Ingeniería Eléctrica,Tecnico/a Universitario/a en Energia Electrica,Pregrado
Ingeniería Metalúrgica,Tecnico/a Universitario/a en Metalurgia,Pregrado
"Computación, Sistemas e Informática",Tecnico/a Universitario/a en Produccion y Diseño de Videojuegos,Pregrado
